No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,District,season
1,2013,3,1,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,0.5,Changping,Changping,Spring
2,2013,3,1,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,0.7,Changping,Changping,Spring
3,2013,3,1,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,0.2,Changping,Changping,Spring
4,2013,3,1,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,1.0,Changping,Changping,Spring
5,2013,3,1,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,2.1,Changping,Changping,Spring
6,2013,3,1,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,1.7,Changping,Changping,Spring
7,2013,3,1,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,1.8,Changping,Changping,Spring
8,2013,3,1,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,2.5,Changping,Changping,Spring
9,2013,3,1,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,0.0,2.8,Changping,Changping,Spring
10,2013,3,1,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,0.0,3.8,Changping,Changping,Spring
11,2013,3,1,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,0.0,2.2,Changping,Changping,Spring
12,2013,3,1,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,0.0,2.7,Changping,Changping,Spring
13,2013,3,1,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,0.0,3.0,Changping,Changping,Spring
14,2013,3,1,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,0.0,4.4,Changping,Changping,Spring
15,2013,3,1,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,0.0,3.6,Changping,Changping,Spring
16,2013,3,1,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,3.2,Changping,Changping,Spring
17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,2.2,Changping,Changping,Spring
18,2013,3,1,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,2.0,Changping,Changping,Spring
19,2013,3,1,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,3.6,Changping,Changping,Spring
20,2013,3,1,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,1.7,Changping,Changping,Spring
21,2013,3,1,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,1.7,Changping,Changping,Spring
22,2013,3,1,21,7.0,16.0,34.0,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,2.3,Changping,Changping,Spring
23,2013,3,1,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,0.0,Changping,Changping,Spring
24,2013,3,1,23,7.0,12.0,42.0,25.0,500.0,65.0,0.3,1027.0,-16.6,0.0,1.5,Changping,Changping,Spring
25,2013,3,2,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,3.0,Changping,Changping,Spring
26,2013,3,2,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,0.9,Changping,Changping,Spring
27,2013,3,2,2,13.0,9.0,14.958905587176211,56.0,800.0,33.0,-1.7,1027.7,-17.4,0.0,1.5,Changping,Changping,Spring
28,2013,3,2,3,14.0,24.0,23.0,42.0,1152.3013445428255,57.94000261752757,-2.5,1027.7,-17.4,0.0,1.7,Changping,Changping,Spring
29,2013,3,2,4,14.0,18.0,24.0,44.182085507457046,400.0,45.0,-3.4,1027.5,-17.0,0.0,0.8,Changping,Changping,Spring
30,2013,3,2,5,13.0,13.0,37.0,57.0,600.0,28.0,-3.5,1026.9,-16.8,0.0,0.5,Changping,Changping,Spring
31,2013,3,2,6,16.0,15.0,38.0,66.0,900.0,16.0,-3.5,1026.1,-15.8,0.0,0.9,Changping,Changping,Spring
32,2013,3,2,7,19.0,25.0,39.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,0.0,0.9,Changping,Changping,Spring
33,2013,3,2,8,22.0,26.0,41.0,66.0,1100.0,14.0,-2.0,1026.4,-15.1,0.0,1.0,Changping,Changping,Spring
34,2013,3,2,9,29.0,43.0,42.0,69.0,1600.0,13.0,-0.2,1026.3,-16.6,0.0,0.5,Changping,Changping,Spring
35,2013,3,2,10,46.0,70.0,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,1.3,Changping,Changping,Spring
36,2013,3,2,11,30.0,33.0,40.0,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,1.1,Changping,Changping,Spring
37,2013,3,2,12,31.0,41.0,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,1.6,Changping,Changping,Spring
38,2013,3,2,13,30.0,34.0,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,0.2,Changping,Changping,Spring
39,2013,3,2,14,30.0,32.0,42.0,59.0,900.0,36.0,3.0,1021.9,-17.3,0.0,0.0,Changping,Changping,Spring
40,2013,3,2,15,38.0,41.0,42.0,58.0,900.0,38.0,2.9,1020.9,-16.8,0.0,1.2,Changping,Changping,Spring
41,2013,3,2,16,42.0,49.0,42.0,62.0,900.0,35.0,2.5,1020.6,-17.1,0.0,0.5,Changping,Changping,Spring
42,2013,3,2,17,44.0,50.0,42.0,66.0,900.0,31.0,2.1,1020.2,-16.4,0.0,0.7,Changping,Changping,Spring
43,2013,3,2,18,44.0,55.0,42.0,73.0,900.0,23.0,1.5,1020.4,-16.0,0.0,0.7,Changping,Changping,Spring
44,2013,3,2,19,47.0,60.0,34.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,0.6,Changping,Changping,Spring
45,2013,3,2,20,52.0,65.0,42.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,0.0,0.2,Changping,Changping,Spring
46,2013,3,2,21,69.0,76.0,42.0,82.0,1700.0,9.0,-1.2,1019.7,-13.7,0.0,1.0,Changping,Changping,Spring
47,2013,3,2,22,72.0,83.0,42.0,82.0,1600.0,8.0,-2.1,1019.1,-13.3,0.0,0.4,Changping,Changping,Spring
48,2013,3,2,23,62.0,71.0,42.0,87.0,2000.0,9.0,-2.2,1018.2,-13.4,0.0,1.1,Changping,Changping,Spring
49,2013,3,3,0,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4,1017.4,-13.0,0.0,1.0,Changping,Changping,Spring
50,2013,3,3,1,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8,1016.5,-12.2,0.0,1.4,Changping,Changping,Spring
51,2013,3,3,2,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8,1015.1,-12.7,0.0,0.8,Changping,Changping,Spring
52,2013,3,3,3,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0,1014.1,-13.4,0.0,0.7,Changping,Changping,Spring
53,2013,3,3,4,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,0.2,Changping,Changping,Spring
54,2013,3,3,5,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6,1013.2,-13.0,0.0,0.5,Changping,Changping,Spring
