No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,District,season
1,2013,3,1,0,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,5.7,Dongsi,Dongsi,Spring
2,2013,3,1,1,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,3.9,Dongsi,Dongsi,Spring
3,2013,3,1,2,7.0,7.0,18.531106607366066,17.0,300.0,60.0,-1.2,1025.3,-24.6,0.0,5.3,Dongsi,Dongsi,Spring
4,2013,3,1,3,3.0,3.0,5.0,18.0,1330.0691310760349,57.210636901162786,-1.4,1026.2,-25.5,0.0,4.9,Dongsi,Dongsi,Spring
5,2013,3,1,4,3.0,3.0,7.0,53.69944280249828,200.0,84.0,-1.9,1027.1,-24.5,0.0,3.2,Dongsi,Dongsi,Spring
6,2013,3,1,5,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,2.4,Dongsi,Dongsi,Spring
7,2013,3,1,6,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,2.2,Dongsi,Dongsi,Spring
8,2013,3,1,7,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,3.0,Dongsi,Dongsi,Spring
9,2013,3,1,8,3.0,6.0,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,4.6,Dongsi,Dongsi,Spring
10,2013,3,1,9,3.0,6.0,9.0,31.0,400.0,69.0,0.4,1030.5,-23.3,0.0,5.5,Dongsi,Dongsi,Spring
11,2013,3,1,10,3.0,6.0,7.0,19.0,300.0,82.0,1.4,1030.2,-22.5,0.0,5.2,Dongsi,Dongsi,Spring
12,2013,3,1,11,6.0,6.0,7.0,19.0,400.0,83.0,2.9,1029.8,-22.9,0.0,5.3,Dongsi,Dongsi,Spring
13,2013,3,1,12,3.0,6.0,6.0,18.0,300.0,86.0,4.0,1028.6,-21.2,0.0,4.6,Dongsi,Dongsi,Spring
14,2013,3,1,13,3.0,6.0,5.0,16.0,300.0,91.0,5.0,1027.8,-21.2,0.0,4.5,Dongsi,Dongsi,Spring
15,2013,3,1,14,3.0,6.0,5.0,16.0,300.0,92.0,6.2,1027.6,-22.2,0.0,4.0,Dongsi,Dongsi,Spring
16,2013,3,1,15,3.0,10.0,5.0,17.0,300.0,92.0,6.0,1027.7,-21.3,0.0,2.1,Dongsi,Dongsi,Spring
17,2013,3,1,16,9.0,17.0,6.0,19.0,300.0,91.0,5.6,1027.7,-20.7,0.0,1.8,Dongsi,Dongsi,Spring
18,2013,3,1,17,9.0,22.0,9.0,21.0,400.0,87.0,4.4,1028.2,-20.9,0.0,3.5,Dongsi,Dongsi,Spring
19,2013,3,1,18,11.0,23.0,8.0,28.0,400.0,79.0,3.2,1029.4,-20.3,0.0,0.5,Dongsi,Dongsi,Spring
20,2013,3,1,19,13.0,17.0,12.0,42.0,600.0,63.0,3.0,1030.1,-19.7,0.0,1.1,Dongsi,Dongsi,Spring
21,2013,3,1,20,5.0,13.0,9.0,38.0,500.0,64.0,1.6,1031.3,-19.0,0.0,1.2,Dongsi,Dongsi,Spring
22,2013,3,1,21,15.0,17.0,13.0,51.0,600.0,48.0,0.8,1032.4,-19.7,0.0,1.0,Dongsi,Dongsi,Spring
23,2013,3,1,22,19.0,21.0,17.0,60.0,700.0,36.0,0.1,1032.9,-19.2,0.0,1.8,Dongsi,Dongsi,Spring
24,2013,3,1,23,8.0,14.0,16.0,58.0,600.0,39.0,-0.5,1032.8,-19.7,0.0,2.1,Dongsi,Dongsi,Spring
25,2013,3,2,0,4.0,11.0,11.0,45.0,500.0,52.0,-0.7,1033.0,-18.3,0.0,0.6,Dongsi,Dongsi,Spring
26,2013,3,2,1,3.0,6.0,11.0,43.0,500.0,53.0,-1.6,1033.2,-17.4,0.0,0.0,Dongsi,Dongsi,Spring
27,2013,3,2,2,3.0,6.0,10.0,36.0,400.0,61.0,-2.2,1032.9,-16.7,0.0,0.0,Dongsi,Dongsi,Spring
28,2013,3,2,3,3.0,6.0,11.0,41.0,500.0,46.0,-3.1,1032.6,-15.8,0.0,0.0,Dongsi,Dongsi,Spring
29,2013,3,2,4,3.0,6.0,9.0,31.0,400.0,60.0,-3.1,1032.7,-16.1,0.0,0.0,Dongsi,Dongsi,Spring
30,2013,3,2,5,9.0,9.0,10.0,32.0,500.0,62.0,-2.4,1032.1,-18.1,0.0,0.8,Dongsi,Dongsi,Spring
31,2013,3,2,6,3.0,6.0,15.0,59.0,600.0,30.0,-2.3,1031.3,-18.4,0.0,1.5,Dongsi,Dongsi,Spring
32,2013,3,2,7,13.0,13.0,14.0,45.0,600.0,47.0,-1.9,1031.9,-18.5,0.0,1.4,Dongsi,Dongsi,Spring
33,2013,3,2,8,3.0,6.0,19.0,48.0,600.0,43.0,-0.9,1031.7,-18.0,0.0,1.6,Dongsi,Dongsi,Spring
34,2013,3,2,9,3.0,6.0,24.0,49.0,500.0,44.0,0.1,1031.7,-18.1,0.0,0.5,Dongsi,Dongsi,Spring
35,2013,3,2,10,3.0,7.0,24.0,55.0,600.0,36.0,1.5,1031.2,-18.0,0.0,0.6,Dongsi,Dongsi,Spring
36,2013,3,2,11,4.0,14.0,18.0,54.0,700.0,34.0,2.6,1030.2,-18.2,0.0,3.1,Dongsi,Dongsi,Spring
37,2013,3,2,12,17.0,22.0,18.0,61.0,1100.0,32.0,3.8,1029.0,-17.8,0.0,1.1,Dongsi,Dongsi,Spring
38,2013,3,2,13,23.0,29.0,19.0,54.0,800.0,39.0,3.8,1027.6,-17.8,0.0,1.0,Dongsi,Dongsi,Spring
39,2013,3,2,14,32.0,34.0,18.0,48.0,700.0,47.0,3.9,1026.8,-18.3,0.0,0.4,Dongsi,Dongsi,Spring
40,2013,3,2,15,35.0,37.0,25.0,49.0,900.0,49.0,4.3,1026.2,-18.0,0.0,1.5,Dongsi,Dongsi,Spring
41,2013,3,2,16,42.0,52.0,43.0,60.0,1300.0,41.0,4.1,1025.4,-16.9,0.0,1.9,Dongsi,Dongsi,Spring
42,2013,3,2,17,54.0,69.0,41.0,62.0,1100.0,40.0,3.2,1025.3,-16.0,0.0,1.3,Dongsi,Dongsi,Spring
43,2013,3,2,18,56.0,82.0,43.0,63.0,1100.0,37.0,2.2,1025.4,-15.8,0.0,0.4,Dongsi,Dongsi,Spring
44,2013,3,2,19,63.0,92.0,45.0,72.0,1200.0,27.0,1.6,1025.0,-15.4,0.0,0.1,Dongsi,Dongsi,Spring
45,2013,3,2,20,71.0,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,1.0,Dongsi,Dongsi,Spring
46,2013,3,2,21,79.0,111.0,54.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,0.2,Dongsi,Dongsi,Spring
47,2013,3,2,22,98.0,121.0,54.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,0.0,Dongsi,Dongsi,Spring
48,2013,3,2,23,108.0,131.0,54.0,110.0,2600.0,2.0,-1.3,1023.2,-14.5,0.0,0.0,Dongsi,Dongsi,Spring
49,2013,3,3,0,115.0,141.0,54.0,111.0,2700.0,2.0,-2.2,1022.3,-12.8,0.0,0.0,Dongsi,Dongsi,Spring
50,2013,3,3,1,127.0,152.0,54.0,109.0,2600.0,2.0,-1.8,1021.4,-13.3,0.0,0.7,Dongsi,Dongsi,Spring
51,2013,3,3,2,132.0,151.0,54.0,107.0,2399.0,2.0,-2.4,1020.4,-13.3,0.0,1.3,Dongsi,Dongsi,Spring
52,2013,3,3,3,124.0,133.0,54.0,104.0,2399.0,2.0,-3.3,1019.4,-12.5,0.0,1.2,Dongsi,Dongsi,Spring
53,2013,3,3,4,112.0,118.0,54.0,105.0,2399.0,2.0,-4.2,1019.0,-12.6,0.0,0.1,Dongsi,Dongsi,Spring
54,2013,3,3,5,101.0,107.0,54.0,99.0,2299.0,2.0,-5.2,1018.5,-11.6,0.0,0.9,Dongsi,Dongsi,Spring
55,2013,3,3,6,88.0,105.0,54.0,94.0,2500.0,2.0,-5.4,1018.3,-11.3,0.0,0.0,Dongsi,Dongsi,Spring
56,2013,3,3,7,98.0,113.0,54.0,100.0,2899.0,2.0,-3.3,1018.6,-9.8,0.0,0.1,Dongsi,Dongsi,Spring
57,2013,3,3,8,97.0,124.0,54.0,95.0,2799.0,2.0,1.2,1018.1,-13.7,0.0,0.8,Dongsi,Dongsi,Spring
58,2013,3,3,9,95.0,115.0,54.0,95.0,2399.0,3.0,4.0,1017.6,-13.4,0.0,0.6,Dongsi,Dongsi,Spring
59,2013,3,3,10,91.0,112.0,54.0,98.0,2200.0,10.0,6.8,1016.7,-13.5,0.0,1.1,Dongsi,Dongsi,Spring
60,2013,3,3,11,98.0,123.0,54.0,104.0,2500.0,14.0,9.5,1015.6,-13.7,0.0,0.5,Dongsi,Dongsi,Spring
61,2013,3,3,12,107.0,134.0,54.0,111.0,2600.0,17.0,13.4,1014.4,-13.6,0.0,1.8,Dongsi,Dongsi,Spring
