No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station,District,season
1,2013,3,1,0,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,9.3,Shunyi,Shunyi,Spring
2,2013,3,1,1,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,9.4,Shunyi,Shunyi,Spring
3,2013,3,1,2,14.0,14.0,13.572038687514807,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,8.6,Shunyi,Shunyi,Spring
4,2013,3,1,3,12.0,12.0,3.0,5.0,1187.0639785927142,55.20132076247208,-2.1,1027.3,-23.3,0.0,6.6,Shunyi,Shunyi,Spring
5,2013,3,1,4,12.0,12.0,3.0,43.90886473782605,200.0,11.0,-2.4,1027.7,-22.9,0.0,4.5,Shunyi,Shunyi,Spring
6,2013,3,1,5,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,1.7,Shunyi,Shunyi,Spring
7,2013,3,1,6,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,1.6,Shunyi,Shunyi,Spring
8,2013,3,1,7,13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,1.7,Shunyi,Shunyi,Spring
9,2013,3,1,8,8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,2.7,Shunyi,Shunyi,Spring
10,2013,3,1,9,3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,0.8,Shunyi,Shunyi,Spring
11,2013,3,1,10,3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,2.5,Shunyi,Shunyi,Spring
12,2013,3,1,11,6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,1.4,Shunyi,Shunyi,Spring
13,2013,3,1,12,8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,2.1,Shunyi,Shunyi,Spring
14,2013,3,1,13,5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,2.1,Shunyi,Shunyi,Spring
15,2013,3,1,14,5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,3.4,Shunyi,Shunyi,Spring
16,2013,3,1,15,8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,2.6,Shunyi,Shunyi,Spring
17,2013,3,1,16,7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,1.0,Shunyi,Shunyi,Spring
18,2013,3,1,17,10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,2.0,Shunyi,Shunyi,Spring
19,2013,3,1,18,3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,0.6,Shunyi,Shunyi,Spring
20,2013,3,1,19,3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,1.9,Shunyi,Shunyi,Spring
